country,product,kcal/country/year,kg_proteins/country/year,kg/country/year,energy_weight_ratio,prot_weight_ratio
Allemagne,Abats Comestible,60390710000.0,11172281.35,62045250.0,973.3333333333334,0.18006666666666665
Allemagne,"Beurre, Ghee",3049730855000.0,3925396.15,426871320.0,7144.37984496124,0.009195736434108526
Allemagne,Crème,1026642070000.0,14191816.85,522834640.0,1963.607594936709,0.02714398734177215
Allemagne,Oeufs,1419181685000.0,115346256.1,1009269400.0,1406.1475409836066,0.11428688524590164
Allemagne,Lait - Excl Beurre,9994662505000.0,742201825.8999999,21401474900.0,467.0081175106301,0.03467993815229996
Allemagne,Poissons Eau Douce,211367485000.0,34422704.7,351589750.0,601.1764705882352,0.09790588235294119
Allemagne,Perciform,603907100000.0,55257499.65000001,338353430.0,1784.841075794621,0.16331295843520785
Allemagne,Poissons Pelagiques,211367485000.0,23552376.9,203508420.0,1038.6178861788617,0.11573170731707316
Allemagne,"Poissons Marins, Autres",30195355000.0,3925396.15,29781720.0,1013.8888888888889,0.13180555555555556
Allemagne,Crustacés,30195355000.0,7246885.199999998,67836140.0,445.1219512195122,0.1068292682926829
Allemagne,Blé,19747762170000.0,639235665.35,6900259070.0,2861.8870639012107,0.09263937177796427
Allemagne,Riz (Eq Blanchi),1056837425000.0,18721120.1,276308180.0,3824.8502994011974,0.06775449101796407
Allemagne,Orge,60390710000.0,1811721.3,24818100.0,2433.3333333333335,0.073
Allemagne,Maïs,2596800530000.0,59786802.90000001,1003478510.0,2587.798845836768,0.05957955482275352
Allemagne,Seigle,2294846980000.0,57975081.6,793351930.0,2892.59645464025,0.07307612095933264
Allemagne,Avoine,392539615000.0,14493770.4,127399580.0,3081.1688311688313,0.11376623376623377
Allemagne,Millet,30195355000.0,905860.65,9927240.0,3041.6666666666665,0.09125
Allemagne,"Céréales, Autres",150976775000.0,3925396.15,56254360.0,2683.823529411765,0.06977941176470588
Allemagne,Pommes de Terre,3472465825000.0,76092294.60000001,5084401420.0,682.9645297754637,0.014965831435079728
Allemagne,Miel,271758195000.0,301953.55000000005,86036080.0,3158.653846153846,0.0035096153846153853
Allemagne,Haricots,30195355000.0,1811721.3,8272700.0,3650.0,0.219
Allemagne,Pois,120781420000.0,8152745.85,38054420.0,3173.913043478261,0.2142391304347826
Allemagne,Légumineuses Autres,60390710000.0,3321489.05,14063590.0,4294.117647058823,0.2361764705882353
Allemagne,Noix,1449377040000.0,38952007.95,553443630.0,2618.8340807174886,0.07038116591928252
Allemagne,Soja,241562840000.0,26873865.950000007,72799760.0,3318.181818181818,0.3691477272727274
Allemagne,Arachides Decortiquees,603907100000.0,27175819.5,105063290.0,5748.031496062992,0.25866141732283465
Allemagne,Coco (Incl Coprah),60390710000.0,603907.1000000001,46327120.0,1303.5714285714287,0.013035714285714288
Allemagne,Olives,60390710000.0,603907.1000000001,66181600.0,912.5,0.009125000000000001
Allemagne,"Plantes Oleiferes, Autre",60390710000.0,1811721.3,9099970.0,6636.363636363636,0.1990909090909091
Allemagne,Huile de Colza&Moutarde,4015982215000.0,301953.55000000005,454171230.0,8842.440801457195,0.0006648451730418945
Allemagne,Huile de Palme,2143870205000.0,1811721.3,237426490.0,9029.616724738677,0.0076306620209059236
Allemagne,Tomates,332148905000.0,15399631.05,1572640270.0,211.20462914255654,0.009792214623882167
Allemagne,Oignons,181172130000.0,6039071.000000001,501325620.0,361.38613861386136,0.012046204620462048
Allemagne,"Légumes, Autres",1539963105000.0,72770805.55000001,5612199680.0,274.3956367924528,0.012966538915094342
Allemagne,"Oranges, Mandarines",392539615000.0,6341024.549999999,1289713930.0,304.361770365619,0.0049166132135984595
Allemagne,Citrons & Limes,30195355000.0,603907.1000000001,124917770.0,241.72185430463577,0.004834437086092716
Allemagne,Pamplemousse,30195355000.0,301953.55000000005,103408750.0,292.0,0.0029200000000000003
Allemagne,"Agrumes, Autres",30195355000.0,301953.55000000005,187790290.0,160.79295154185021,0.0016079295154185025
Allemagne,Bananes,603907100000.0,7850792.300000002,980314950.0,616.0337552742616,0.008008438818565403
Allemagne,Pommes,754883875000.0,4529303.249999999,1542858550.0,489.2761394101877,0.0029356568364611252
Allemagne,Ananas,150976775000.0,905860.65,273826370.0,551.3595166163142,0.0033081570996978853
Allemagne,Raisin,483125680000.0,4529303.249999999,722206710.0,668.9576174112257,0.006271477663230239
Allemagne,"Fruits, Autres",905860650000.0,12682049.099999998,2083893130.0,434.69630805875346,0.006085748312822548
Allemagne,Café,241562840000.0,30799262.1,558407250.0,432.5925925925926,0.055155555555555555
Allemagne,Feve de Cacao,452930325000.0,6039071.000000001,76108840.0,5951.086956521739,0.07934782608695654
Allemagne,Thé,30195355000.0,4227349.700000001,58736170.0,514.0845070422536,0.07197183098591552
Allemagne,Poivre,60390710000.0,1811721.3,17372670.0,3476.190476190476,0.10428571428571429
Allemagne,Piments,60390710000.0,1811721.3,14890860.0,4055.5555555555557,0.12166666666666667
Allemagne,"Épices, Autres",120781420000.0,3925396.15,33918070.0,3560.9756097560976,0.11573170731707316
Allemagne,Bière,3804614730000.0,38952007.95,7772201650.0,489.51569984034063,0.00501170835550825
Angola,Viande de Bovins,282142080000.0,27273734.4,180794240.0,1560.5700712589073,0.15085510688836104
Angola,Viande d'Ovins/Caprins,39186400000.0,3448403.2,23189760.0,1689.8148148148148,0.1487037037037037
Angola,Viande de Suides,697517920000.0,19358081.600000005,190886080.0,3654.105736782902,0.10141169853768282
Angola,Viande de Volailles,454562240000.0,45769715.2,372109760.0,1221.5810732833238,0.12300057703404502
Angola,"Viande, Autre",7837280000.0,1645828.7999999996,9018240.0,869.047619047619,0.18249999999999994
Angola,Abats Comestible,23511840000.0,4388876.800000002,24692800.0,952.1739130434783,0.17773913043478268
Angola,Graisses Animales Crue,78372800000.0,78372.8,10521280.0,7448.9795918367345,0.007448979591836735
Angola,Oeufs,31349120000.0,2586302.4,23833920.0,1315.3153153153153,0.10851351351351352
Angola,Lait - Excl Beurre,156745600000.0,8229144.000000001,264105600.0,593.4959349593496,0.031158536585365857
Angola,Poissons Eau Douce,15674560000.0,2116065.6,19754240.0,793.4782608695652,0.10711956521739131
Angola,Perciform,54860960000.0,11285683.199999996,131408640.0,417.48366013071893,0.08588235294117644
